epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1,0.9072299291799356,0.5164835164835165,0.5066844919786097,0.2777508536110754,1.0,1.0
2,0.1643479302842784,0.9340659340659341,0.9348126977279264,0.01879443175984425,1.0,1.0
3,0.006408339437946999,1.0,1.0,0.0005112786817303162,1.0,1.0
4,0.00030802147199750294,1.0,1.0,3.744671678008593e-05,1.0,1.0
5,8.865446615839819e-05,1.0,1.0,1.347562708994711e-06,1.0,1.0
6,0.019495956110544145,0.989010989010989,0.9888858016115588,6.271400153586317e-07,1.0,1.0
7,0.0004058254152572682,1.0,1.0,0.38927459197547565,0.9565217391304348,0.9547511312217195
8,0.010670477444843889,1.0,1.0,0.0,1.0,1.0
9,1.4671870520952315e-07,1.0,1.0,0.0,1.0,1.0
10,0.004618688207146454,1.0,1.0,5.183012280232778e-09,1.0,1.0
11,0.009098072607929811,1.0,1.0,0.0,1.0,1.0
